0.00	0.20	0.00	0.20	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.20	0.00	0.25	0.10	0.30	0.20	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.25	0.00	0.00	0.26	0.10	0.00	0.00	0.10	0.00	0.00	0.20
0.20	0.10	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.30	0.30	0.26	0.40	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.20	0.10	0.00	0.30	0.00	0.00	0.00	0.10	0.00	0.00	0.10
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.20	0.30	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.20	0.10	0.26	0.10
0.00	0.00	0.10	0.00	0.00	0.10	0.00	0.20	0.00	0.00	0.30	0.20
0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.10	0.00	0.00	0.30	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.26	0.30	0.30	0.00	0.40
0.00	0.00	0.20	0.00	0.00	0.10	0.00	0.10	0.20	0.00	0.40	0.00
			
0.00	0.10	0.00	0.05	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.10	0.00	0.05	0.05	0.10	0.07	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.05	0.00	0.00	0.12	0.02	0.00	0.00	0.10	0.00	0.00	0.20
0.05	0.05	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.08	0.10	0.12	0.20	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.07	0.02	0.00	0.10	0.00	0.00	0.00	0.10	0.00	0.00	0.10
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.07	0.10	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.10	0.02	0.12	0.05
0.00	0.00	0.10	0.00	0.00	0.10	0.00	0.10	0.00	0.00	0.08	0.05
0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.02	0.00	0.00	0.10	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.12	0.08	0.10	0.00	0.20
0.00	0.00	0.02	0.00	0.00	0.10	0.00	0.05	0.05	0.00	0.20	0.00


