
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus13	Bus14	Bus15	Bus16	Bus17	Bus18	Bus19	Bus20	Bus21	Bus22	Bus23	Bus24	Bus25	Bus26	Bus27	Bus28	Bus29	Bus30	Bus31	Bus32	Bus33	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus13_P	Bus14_P	Bus15_P	Bus16_P	Bus17_P	Bus18_P	Bus19_P	Bus20_P	Bus21_P	Bus22_P	Bus23_P	Bus24_P	Bus25_P	Bus26_P	Bus27_P	Bus28_P	Bus29_P	Bus30_P	Bus31_P	Bus32_P	Bus33_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	Bus13_Q	Bus14_Q	Bus15_Q	Bus16_Q	Bus17_Q	Bus18_Q	Bus19_Q	Bus20_Q	Bus21_Q	Bus22_Q	Bus23_Q	Bus24_Q	Bus25_Q	Bus26_Q	Bus27_Q	Bus28_Q	Bus29_Q	Bus30_Q	Bus31_Q	Bus32_Q	Bus33_Q	PLoss	QLoss
Replication0	 0.41088	0.97915	1.23640 	1.23655 	1.22777 	1.23203 	1.23716 	1.25065 	1.26123 	1.28640 	1.32680 	1.46088 	1.43090 	1.37434 	1.16885 	1.16092 	1.14824 	1.14149 	1.12647 	1.12225 	1.24035 	1.27829 	1.28906 	1.31097 	1.21477 	1.19029 	1.16748 	1.24337 	1.23369 	1.19664 	1.17060 	1.15843 	1.13473 	1.12753 	1.11974 	-0.00143 	-0.00155 	-0.00128 	-0.00156 	-0.00149 	0.01372 	-0.00147 	-0.00162 	-0.00151 	0.24268 	-0.00123 	-0.00168 	-0.06867 	-0.00146 	-0.13654 	-0.00133 	-0.00155 	-0.00160 	-0.00166 	0.00029 	-0.00168 	-0.00155 	-0.00158 	-0.00130 	-0.03336 	-0.00155 	-0.00143 	-0.00178 	0.00000 	-0.00175 	-0.00136 	-0.00132 	-0.01752 	-0.00049 	-0.00053 	-0.00044 	-0.00053 	-0.00051 	0.00469 	-0.00050 	-0.00055 	-0.00052 	0.08299 	-0.00042 	-0.00057 	-0.07531 	-0.00050 	0.03150 	-0.00046 	-0.00053 	-0.00055 	-0.00057 	0.00010 	-0.00057 	-0.00053 	-0.00054 	-0.00044 	-0.00455 	-0.00053 	-0.00049 	-0.00061 	0.00000 	-0.00060 	-0.00047 	-0.00045 	-0.01138 	0.06957	0.05163
Replication1	 0.44807	0.97685	1.25539 	1.25555 	1.24602 	1.24895 	1.25272 	1.26313 	1.27610 	1.30583 	1.35190 	1.49807 	1.46577 	1.40485 	1.18329 	1.17482 	1.16130 	1.15554 	1.14217 	1.13897 	1.25965 	1.29986 	1.31146 	1.33575 	1.23412 	1.21171 	1.19115 	1.25698 	1.24898 	1.21887 	1.19764 	1.18342 	1.15511 	1.14642 	1.13690 	-0.00153 	-0.00159 	-0.00148 	-0.00161 	-0.00158 	0.00000 	-0.00125 	-0.00134 	-0.00136 	0.26278 	-0.00140 	-0.00139 	-0.07485 	-0.00157 	-0.15079 	-0.00140 	-0.00152 	-0.00125 	-0.00144 	0.00000 	-0.00142 	-0.00132 	-0.00140 	-0.00148 	-0.03781 	-0.00181 	-0.00146 	-0.00140 	0.01320 	-0.00171 	-0.00146 	-0.00141 	-0.02012 	-0.00052 	-0.00055 	-0.00051 	-0.00055 	-0.00054 	0.00000 	-0.00043 	-0.00046 	-0.00047 	0.09028 	-0.00048 	-0.00048 	-0.08222 	-0.00054 	0.03582 	-0.00048 	-0.00052 	-0.00043 	-0.00049 	0.00000 	-0.00049 	-0.00045 	-0.00048 	-0.00051 	-0.00580 	-0.00062 	-0.00050 	-0.00048 	0.00454 	-0.00059 	-0.00050 	-0.00048 	-0.01330 	0.08027	0.05949
Replication2	 0.19816	0.98955	1.15221 	1.15237 	1.15026 	1.15615 	1.16294 	1.18021 	1.17981 	1.18101 	1.18759 	1.24816 	1.23259 	1.20352 	1.09288 	1.08976 	1.08429 	1.08102 	1.07470 	1.07376 	1.15376 	1.16951 	1.17402 	1.18069 	1.14149 	1.12576 	1.11166 	1.17415 	1.16623 	1.13595 	1.11445 	1.10457 	1.08565 	1.07997 	1.07390 	-0.00145 	-0.00143 	-0.00143 	-0.00148 	-0.00128 	0.04231 	-0.00164 	-0.00145 	-0.00165 	0.11894 	-0.00137 	-0.00173 	-0.03590 	-0.00163 	-0.07035 	-0.00150 	-0.00112 	-0.00174 	-0.00160 	0.00010 	-0.00143 	-0.00173 	-0.00187 	-0.00137 	-0.01946 	-0.00171 	-0.00160 	-0.00129 	0.00000 	-0.00181 	-0.00129 	-0.00130 	-0.00996 	-0.00048 	-0.00048 	-0.00048 	-0.00050 	-0.00043 	0.01417 	-0.00055 	-0.00048 	-0.00055 	0.03984 	-0.00046 	-0.00058 	-0.03923 	-0.00055 	0.01391 	-0.00050 	-0.00037 	-0.00058 	-0.00054 	0.00003 	-0.00048 	-0.00058 	-0.00063 	-0.00046 	-0.00501 	-0.00057 	-0.00054 	-0.00043 	0.00000 	-0.00060 	-0.00043 	-0.00043 	-0.00688 	0.01947	0.01476
Replication3	 0.26502	0.98678	1.16836 	1.16852 	1.16358 	1.16803 	1.17330 	1.18748 	1.19232 	1.20496 	1.22744 	1.31502 	1.29449 	1.25608 	1.11531 	1.11032 	1.10214 	1.09692 	1.08677 	1.08449 	1.17090 	1.19555 	1.20265 	1.21597 	1.15391 	1.13630 	1.12051 	1.18159 	1.17384 	1.14433 	1.12324 	1.11357 	1.09478 	1.08921 	1.08334 	-0.00147 	-0.00129 	-0.00125 	-0.00145 	-0.00177 	0.02434 	-0.00167 	-0.00135 	-0.00127 	0.16296 	-0.00166 	-0.00155 	-0.04562 	-0.00150 	-0.08830 	-0.00167 	-0.00161 	-0.00132 	-0.00152 	0.00003 	-0.00160 	-0.00156 	-0.00176 	-0.00151 	-0.02244 	-0.00148 	-0.00146 	-0.00112 	0.00000 	-0.00151 	-0.00144 	-0.00138 	-0.01161 	-0.00050 	-0.00043 	-0.00042 	-0.00049 	-0.00059 	0.00820 	-0.00056 	-0.00045 	-0.00043 	0.05488 	-0.00056 	-0.00052 	-0.04983 	-0.00051 	0.01829 	-0.00056 	-0.00054 	-0.00044 	-0.00051 	0.00001 	-0.00054 	-0.00052 	-0.00059 	-0.00051 	-0.00416 	-0.00050 	-0.00049 	-0.00038 	0.00000 	-0.00051 	-0.00049 	-0.00046 	-0.00771 	0.03202	0.02394
Replication4	 0.29009	0.98617	1.15203 	1.15217 	1.14491 	1.14723 	1.15035 	1.15897 	1.16927 	1.19385 	1.23305 	1.34009 	1.31692 	1.27346 	1.12160 	1.11500 	1.10490 	1.09777 	1.08395 	1.07947 	1.15539 	1.18780 	1.19714 	1.21676 	1.13601 	1.11967 	1.10517 	1.15406 	1.14763 	1.12384 	1.10725 	1.09958 	1.08511 	1.08097 	1.07684 	-0.00130 	-0.00157 	-0.00161 	-0.00157 	-0.00137 	0.00000 	-0.00164 	-0.00151 	-0.00187 	0.19041 	-0.00162 	-0.00158 	-0.04837 	-0.00130 	-0.09177 	-0.00158 	-0.00138 	-0.00141 	-0.00152 	0.00001 	-0.00164 	-0.00148 	-0.00141 	-0.00152 	-0.02101 	-0.00135 	-0.00141 	-0.00130 	0.00000 	-0.00144 	-0.00145 	-0.00140 	-0.01084 	-0.00044 	-0.00053 	-0.00054 	-0.00053 	-0.00046 	0.00000 	-0.00055 	-0.00051 	-0.00063 	0.06420 	-0.00055 	-0.00053 	-0.05278 	-0.00044 	0.01966 	-0.00053 	-0.00047 	-0.00048 	-0.00051 	0.00000 	-0.00055 	-0.00050 	-0.00048 	-0.00051 	-0.00190 	-0.00046 	-0.00047 	-0.00044 	0.00000 	-0.00048 	-0.00049 	-0.00047 	-0.00677 	0.04014	0.02975
Replication5	 0.38090	0.98118	1.20438 	1.20455 	1.19527 	1.19809 	1.20171 	1.21157 	1.22414 	1.25349 	1.29919 	1.43090 	1.40221 	1.34821 	1.15570 	1.14757 	1.13513 	1.12751 	1.11170 	1.10683 	1.20857 	1.24817 	1.25900 	1.28199 	1.18387 	1.16253 	1.14278 	1.20547 	1.19739 	1.16688 	1.14546 	1.13556 	1.11592 	1.11003 	1.10388 	-0.00156 	-0.00163 	-0.00168 	-0.00152 	-0.00143 	0.00000 	-0.00141 	-0.00150 	-0.00129 	0.23498 	-0.00148 	-0.00149 	-0.06303 	-0.00155 	-0.12339 	-0.00154 	-0.00156 	-0.00153 	-0.00148 	0.00103 	-0.00150 	-0.00158 	-0.00144 	-0.00126 	-0.02899 	-0.00139 	-0.00133 	-0.00150 	0.00000 	-0.00111 	-0.00129 	-0.00148 	-0.01514 	-0.00053 	-0.00055 	-0.00057 	-0.00052 	-0.00049 	0.00000 	-0.00048 	-0.00051 	-0.00044 	0.08003 	-0.00050 	-0.00051 	-0.06903 	-0.00053 	0.02832 	-0.00052 	-0.00053 	-0.00052 	-0.00050 	0.00035 	-0.00051 	-0.00054 	-0.00049 	-0.00043 	-0.00297 	-0.00047 	-0.00045 	-0.00051 	0.00000 	-0.00038 	-0.00044 	-0.00050 	-0.00959 	0.06302	0.04671
Replication6	 0.28347	0.98646	1.14970 	1.14986 	1.14289 	1.14511 	1.14813 	1.15675 	1.16689 	1.19078 	1.22903 	1.33347 	1.31085 	1.26834 	1.11928 	1.11277 	1.10308 	1.09630 	1.08286 	1.07877 	1.15300 	1.18500 	1.19423 	1.21327 	1.13437 	1.11894 	1.10532 	1.15197 	1.14573 	1.12329 	1.10793 	1.09991 	1.08498 	1.08069 	1.07640 	-0.00143 	-0.00156 	-0.00154 	-0.00160 	-0.00158 	0.00000 	-0.00133 	-0.00167 	-0.00150 	0.18586 	-0.00140 	-0.00143 	-0.04737 	-0.00162 	-0.08992 	-0.00140 	-0.00161 	-0.00136 	-0.00168 	0.00000 	-0.00121 	-0.00147 	-0.00157 	-0.00150 	-0.02083 	-0.00140 	-0.00183 	-0.00151 	0.00254 	-0.00167 	-0.00146 	-0.00145 	-0.01074 	-0.00048 	-0.00053 	-0.00052 	-0.00054 	-0.00053 	0.00000 	-0.00045 	-0.00056 	-0.00050 	0.06264 	-0.00047 	-0.00048 	-0.05168 	-0.00055 	0.01919 	-0.00047 	-0.00054 	-0.00046 	-0.00057 	0.00000 	-0.00041 	-0.00049 	-0.00053 	-0.00051 	-0.00212 	-0.00047 	-0.00062 	-0.00051 	0.00086 	-0.00056 	-0.00049 	-0.00049 	-0.00675 	0.03839	0.02849
Replication7	 0.34540	0.98176	1.24052 	1.24067 	1.23563 	1.24265 	1.25058 	1.27063 	1.27313 	1.28037 	1.29577 	1.39540 	1.37086 	1.32472 	1.14809 	1.14302 	1.13379 	1.13000 	1.12124 	1.12006 	1.24309 	1.26793 	1.27510 	1.28719 	1.22275 	1.19835 	1.17579 	1.26258 	1.25186 	1.20979 	1.17962 	1.16575 	1.13761 	1.12901 	1.11959 	-0.00136 	-0.00141 	-0.00165 	-0.00136 	-0.00140 	0.04533 	-0.00126 	-0.00156 	-0.00145 	0.19071 	-0.00141 	-0.00174 	-0.05967 	-0.00160 	-0.12053 	-0.00156 	-0.00139 	-0.00139 	-0.00141 	0.00002 	-0.00150 	-0.00169 	-0.00154 	-0.00147 	-0.03256 	-0.00161 	-0.00131 	-0.00146 	0.00000 	-0.00132 	-0.00155 	-0.00144 	-0.01712 	-0.00046 	-0.00048 	-0.00056 	-0.00046 	-0.00048 	0.01542 	-0.00043 	-0.00053 	-0.00049 	0.06488 	-0.00048 	-0.00059 	-0.06549 	-0.00054 	0.02647 	-0.00053 	-0.00047 	-0.00047 	-0.00048 	0.00001 	-0.00051 	-0.00057 	-0.00053 	-0.00050 	-0.00735 	-0.00055 	-0.00045 	-0.00050 	0.00000 	-0.00045 	-0.00053 	-0.00049 	-0.01175 	0.04865	0.03664
Replication8	 0.20877	0.98932	1.13415 	1.13431 	1.13037 	1.13171 	1.13379 	1.14039 	1.14658 	1.16078 	1.18369 	1.25877 	1.24177 	1.20997 	1.09498 	1.09114 	1.08465 	1.08184 	1.07624 	1.07577 	1.13638 	1.15831 	1.16357 	1.17536 	1.12570 	1.11788 	1.11197 	1.13797 	1.13510 	1.12543 	1.11960 	1.10923 	1.08864 	1.08251 	1.07608 	-0.00150 	-0.00146 	-0.00140 	-0.00156 	-0.00163 	0.00000 	-0.00139 	-0.00128 	-0.00155 	0.13693 	-0.00137 	-0.00167 	-0.03681 	-0.00136 	-0.07139 	-0.00133 	-0.00129 	-0.00148 	-0.00159 	0.00190 	-0.00137 	-0.00113 	-0.00146 	-0.00165 	-0.01965 	-0.00155 	-0.00144 	-0.00142 	0.02329 	-0.00143 	-0.00160 	-0.00165 	-0.01028 	-0.00050 	-0.00049 	-0.00047 	-0.00052 	-0.00054 	0.00000 	-0.00046 	-0.00043 	-0.00052 	0.04588 	-0.00046 	-0.00056 	-0.04021 	-0.00045 	0.01467 	-0.00045 	-0.00043 	-0.00050 	-0.00053 	0.00064 	-0.00046 	-0.00038 	-0.00049 	-0.00055 	-0.00489 	-0.00052 	-0.00048 	-0.00048 	0.00780 	-0.00048 	-0.00054 	-0.00055 	-0.00713 	0.02112	0.01579
Replication9	 0.33042	0.98222	1.22739 	1.22754 	1.22288 	1.22609 	1.23016 	1.24095 	1.24650 	1.25893 	1.28031 	1.38042 	1.35671 	1.31203 	1.14265 	1.13826 	1.12974 	1.12886 	1.12537 	1.12684 	1.22983 	1.25324 	1.25972 	1.27282 	1.21512 	1.20120 	1.18932 	1.23708 	1.23213 	1.21348 	1.20054 	1.18420 	1.15060 	1.14007 	1.12834 	-0.00140 	-0.00137 	-0.00139 	-0.00165 	-0.00115 	0.01205 	-0.00116 	-0.00160 	-0.00147 	0.18726 	-0.00111 	-0.00155 	-0.05728 	-0.00152 	-0.11714 	-0.00131 	-0.00133 	-0.00147 	-0.00133 	0.00049 	-0.00136 	-0.00140 	-0.00164 	-0.00173 	-0.03387 	-0.00139 	-0.00121 	-0.00111 	0.03191 	-0.00146 	-0.00134 	-0.00150 	-0.01820 	-0.00048 	-0.00046 	-0.00047 	-0.00056 	-0.00039 	0.00410 	-0.00039 	-0.00054 	-0.00050 	0.06364 	-0.00038 	-0.00053 	-0.06295 	-0.00052 	0.02616 	-0.00045 	-0.00045 	-0.00050 	-0.00045 	0.00017 	-0.00046 	-0.00048 	-0.00056 	-0.00059 	-0.00930 	-0.00047 	-0.00041 	-0.00038 	0.01085 	-0.00050 	-0.00045 	-0.00051 	-0.01297 	0.04335	0.03266
