
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus13	Bus14	Bus15	Bus16	Bus17	Bus18	Bus19	Bus20	Bus21	Bus22	Bus23	Bus24	Bus25	Bus26	Bus27	Bus28	Bus29	Bus30	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus13_P	Bus14_P	Bus15_P	Bus16_P	Bus17_P	Bus18_P	Bus19_P	Bus20_P	Bus21_P	Bus22_P	Bus23_P	Bus24_P	Bus25_P	Bus26_P	Bus27_P	Bus28_P	Bus29_P	Bus30_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	Bus13_Q	Bus14_Q	Bus15_Q	Bus16_Q	Bus17_Q	Bus18_Q	Bus19_Q	Bus20_Q	Bus21_Q	Bus22_Q	Bus23_Q	Bus24_Q	Bus25_Q	Bus26_Q	Bus27_Q	Bus28_Q	Bus29_Q	Bus30_Q	PLoss	QLoss
Replication0	 0.24944	0.83559	1.11197 	1.11193 	1.11299 	1.11591 	1.10451 	1.11908 	1.10971 	1.11844 	1.11549 	1.14379 	1.08707 	1.18625 	1.29294 	1.18215 	1.19811 	1.15476 	1.14121 	1.14473 	1.12951 	1.12840 	1.15115 	1.15494 	1.29944 	1.21319 	1.23560 	1.19001 	1.29158 	1.12920 	1.27669 	1.26065 	0.13622 	0.38666 	-0.11718 	-0.12094 	-0.13900 	0.00000 	-0.10795 	-0.12181 	-0.11071 	0.21821 	-0.10638 	-0.11683 	0.97418 	-0.10858 	-0.13553 	-0.10376 	-0.13961 	-0.14909 	-0.13221 	-0.12382 	-0.11421 	-0.21686 	1.01680 	-0.14323 	-0.12082 	-0.13664 	0.62732 	-0.12503 	0.00000 	-0.11962 	-0.20834 	-0.07672 	-0.05356 	-0.05528 	-0.06353 	0.00000 	-0.04934 	-0.05568 	-0.05060 	0.09974 	-0.04862 	-0.05340 	0.16514 	-0.04963 	-0.06195 	-0.04743 	-0.06381 	-0.06814 	-0.06043 	-0.05659 	-0.05220 	0.06071 	0.86286 	-0.06547 	-0.05523 	-0.06245 	0.78134 	-0.05715 	0.00000 	-0.05467 	0.27207	0.32458
Replication1	 0.24992	0.83673	1.10955 	1.10970 	1.11003 	1.11333 	1.10354 	1.11705 	1.10793 	1.11684 	1.11078 	1.14214 	1.07560 	1.18413 	1.28977 	1.18013 	1.19844 	1.15195 	1.14029 	1.14883 	1.13155 	1.12931 	1.14989 	1.15374 	1.29992 	1.21332 	1.23393 	1.18948 	1.28795 	1.12737 	1.27216 	1.25515 	0.13588 	0.38167 	-0.13881 	-0.13176 	-0.11880 	0.00529 	-0.11269 	-0.10049 	-0.11697 	0.19943 	-0.13026 	-0.12874 	0.96501 	-0.11668 	-0.12745 	-0.12276 	-0.11202 	-0.10630 	-0.13086 	-0.12963 	-0.11094 	-0.21525 	1.01784 	-0.12951 	-0.11871 	-0.13323 	0.61877 	-0.11722 	0.00000 	-0.12631 	-0.20629 	-0.07850 	-0.06330 	-0.06008 	-0.05417 	0.00241 	-0.05139 	-0.04583 	-0.05334 	0.09094 	-0.05940 	-0.05871 	0.16158 	-0.05321 	-0.05812 	-0.05598 	-0.05108 	-0.04847 	-0.05967 	-0.05911 	-0.05059 	0.06039 	0.86497 	-0.05906 	-0.05413 	-0.06075 	0.77172 	-0.05345 	0.00000 	-0.05760 	0.27132	0.32277
Replication2	 0.25521	0.83742	1.11105 	1.11116 	1.11164 	1.11493 	1.10441 	1.11834 	1.10875 	1.11715 	1.11767 	1.14817 	1.09046 	1.18916 	1.29720 	1.18419 	1.20371 	1.15770 	1.14555 	1.15398 	1.13735 	1.13466 	1.15470 	1.15838 	1.30521 	1.21472 	1.21918 	1.16812 	1.27048 	1.12758 	1.25390 	1.23555 	0.13463 	0.38291 	-0.13743 	-0.13195 	-0.12338 	0.04432 	-0.12201 	-0.14277 	-0.12080 	0.25667 	-0.10220 	-0.13884 	0.97826 	-0.12626 	-0.12099 	-0.11498 	-0.13130 	-0.11452 	-0.11597 	-0.14390 	-0.12390 	-0.21717 	1.03468 	-0.10738 	-0.14145 	-0.15019 	0.57538 	-0.10733 	0.00156 	-0.13312 	-0.20610 	-0.07531 	-0.06258 	-0.06008 	-0.05618 	0.02018 	-0.05556 	-0.06501 	-0.05501 	0.11688 	-0.04654 	-0.06322 	0.17822 	-0.05749 	-0.05509 	-0.05236 	-0.05979 	-0.05215 	-0.05281 	-0.06552 	-0.05642 	0.05731 	0.88246 	-0.04890 	-0.06441 	-0.06839 	0.72769 	-0.04887 	0.00071 	-0.06062 	0.26466	0.31782
Replication3	 0.25210	0.83552	1.10577 	1.10582 	1.10653 	1.11012 	1.09939 	1.11373 	1.10481 	1.11273 	1.11038 	1.14078 	1.08176 	1.18331 	1.28857 	1.17835 	1.19849 	1.15106 	1.13904 	1.14574 	1.13025 	1.12874 	1.14904 	1.15320 	1.30210 	1.21699 	1.24303 	1.20206 	1.29893 	1.12487 	1.28471 	1.26939 	0.13848 	0.37748 	-0.14827 	-0.11516 	-0.13282 	0.00000 	-0.09667 	-0.14804 	-0.12389 	0.17038 	-0.10658 	-0.11917 	0.96556 	-0.12859 	-0.10573 	-0.12007 	-0.11211 	-0.14282 	-0.12711 	-0.10970 	-0.12000 	-0.21598 	1.02548 	-0.11602 	-0.12127 	-0.12412 	0.64567 	-0.11267 	0.00000 	-0.11509 	-0.20622 	-0.08610 	-0.06778 	-0.05264 	-0.06072 	0.00000 	-0.04419 	-0.06768 	-0.05664 	0.07789 	-0.04872 	-0.05448 	0.15618 	-0.05878 	-0.04833 	-0.05489 	-0.05125 	-0.06529 	-0.05811 	-0.05015 	-0.05486 	0.06171 	0.87148 	-0.05304 	-0.05544 	-0.05674 	0.79976 	-0.05151 	0.00000 	-0.05261 	0.28139	0.33376
Replication4	 0.27155	0.82869	1.11768 	1.11757 	1.11890 	1.12162 	1.10866 	1.12495 	1.11356 	1.12489 	1.11045 	1.14189 	1.07055 	1.18826 	1.29606 	1.18379 	1.20227 	1.15409 	1.13973 	1.14653 	1.13014 	1.12813 	1.15134 	1.15584 	1.30974 	1.22568 	1.26134 	1.22415 	1.32155 	1.13669 	1.30686 	1.29065 	0.14142 	0.40496 	-0.10680 	-0.12018 	-0.14862 	0.02835 	-0.14828 	-0.10517 	-0.13041 	0.14702 	-0.14676 	-0.12975 	0.99744 	-0.12084 	-0.12997 	-0.11487 	-0.13676 	-0.15037 	-0.12570 	-0.13076 	-0.11956 	-0.22316 	1.05347 	-0.10954 	-0.12477 	-0.11453 	0.69905 	-0.12581 	0.00117 	-0.12263 	-0.21759 	-0.07786 	-0.04951 	-0.05572 	-0.06890 	0.01314 	-0.06874 	-0.04876 	-0.06046 	0.06816 	-0.06804 	-0.06015 	0.15446 	-0.05602 	-0.06025 	-0.05325 	-0.06340 	-0.06971 	-0.05828 	-0.06062 	-0.05543 	0.06604 	0.89307 	-0.05079 	-0.05785 	-0.05310 	0.85953 	-0.05833 	0.00054 	-0.05685 	0.30490	0.35962
Replication5	 0.26104	0.83111	1.10795 	1.10792 	1.10898 	1.11235 	1.10053 	1.11617 	1.10590 	1.11557 	1.11160 	1.14758 	1.07452 	1.18805 	1.29569 	1.18429 	1.20463 	1.15594 	1.14558 	1.15424 	1.13566 	1.13338 	1.15533 	1.15957 	1.31104 	1.22421 	1.25280 	1.21353 	1.30950 	1.12769 	1.29577 	1.27792 	0.14233 	0.38688 	-0.13594 	-0.14195 	-0.14028 	0.00809 	-0.12182 	-0.13082 	-0.13694 	0.25439 	-0.13699 	-0.14383 	0.99075 	-0.12396 	-0.12472 	-0.13210 	-0.10536 	-0.09734 	-0.14355 	-0.13974 	-0.13670 	-0.22313 	1.05656 	-0.12967 	-0.12243 	-0.11997 	0.67003 	-0.12149 	0.00963 	-0.12816 	-0.21161 	-0.08912 	-0.06271 	-0.06548 	-0.06471 	0.00373 	-0.05620 	-0.06035 	-0.06317 	0.11735 	-0.06319 	-0.06635 	0.15968 	-0.05718 	-0.05754 	-0.06094 	-0.04860 	-0.04490 	-0.06622 	-0.06446 	-0.06306 	0.06200 	0.89843 	-0.05982 	-0.05648 	-0.05534 	0.82824 	-0.05604 	0.00444 	-0.05912 	0.29814	0.34957
Replication6	 0.25266	0.83718	1.10370 	1.10365 	1.10477 	1.10793 	1.09781 	1.11116 	1.10169 	1.11054 	1.10710 	1.14391 	1.06923 	1.18556 	1.29189 	1.18187 	1.20082 	1.15365 	1.14207 	1.15274 	1.13743 	1.13484 	1.15114 	1.15504 	1.30266 	1.21451 	1.23260 	1.19238 	1.28494 	1.12110 	1.26988 	1.25318 	0.13748 	0.37184 	-0.12614 	-0.13476 	-0.10991 	0.00000 	-0.12418 	-0.11811 	-0.13764 	0.24168 	-0.13940 	-0.12375 	0.96815 	-0.11767 	-0.12771 	-0.12181 	-0.11139 	-0.11876 	-0.10441 	-0.11231 	-0.12384 	-0.21557 	1.02652 	-0.12830 	-0.13085 	-0.12092 	0.61144 	-0.13341 	0.00146 	-0.12281 	-0.20375 	-0.08706 	-0.05747 	-0.06140 	-0.05007 	0.00000 	-0.05657 	-0.05381 	-0.06270 	0.11011 	-0.06351 	-0.05638 	0.16694 	-0.05361 	-0.05818 	-0.05549 	-0.05075 	-0.05411 	-0.04757 	-0.05117 	-0.05642 	0.05931 	0.87407 	-0.05845 	-0.05961 	-0.05509 	0.76397 	-0.06078 	0.00067 	-0.05595 	0.27616	0.32561
Replication7	 0.26119	0.82875	1.12386 	1.12407 	1.12415 	1.12662 	1.11765 	1.12958 	1.11989 	1.12900 	1.11802 	1.14789 	1.08522 	1.18837 	1.29623 	1.17955 	1.20240 	1.15641 	1.14491 	1.15266 	1.13605 	1.13451 	1.15587 	1.15992 	1.30795 	1.22257 	1.25103 	1.20632 	1.31119 	1.14047 	1.29587 	1.27935 	0.13918 	0.41476 	-0.10498 	-0.11515 	-0.09726 	0.00000 	-0.14907 	-0.12573 	-0.13602 	0.19490 	-0.12231 	-0.13879 	0.99763 	-0.15910 	-0.13865 	-0.12189 	-0.13191 	-0.11399 	-0.13836 	-0.11936 	-0.11934 	-0.22531 	1.04763 	-0.13476 	-0.12790 	-0.13559 	0.67316 	-0.11981 	0.00000 	-0.12467 	-0.21971 	-0.06789 	-0.04866 	-0.05338 	-0.04509 	0.00000 	-0.06910 	-0.05828 	-0.06305 	0.09034 	-0.05670 	-0.06434 	0.15495 	-0.07375 	-0.06427 	-0.05650 	-0.06115 	-0.05284 	-0.06414 	-0.05533 	-0.05532 	0.06380 	0.88729 	-0.06247 	-0.05929 	-0.06285 	0.83359 	-0.05554 	0.00000 	-0.05779 	0.28683	0.33893
Replication8	 0.26009	0.83475	1.10943 	1.10947 	1.11019 	1.11312 	1.10326 	1.11682 	1.10695 	1.11660 	1.10653 	1.13756 	1.07349 	1.17881 	1.28188 	1.17326 	1.19451 	1.14616 	1.13512 	1.14396 	1.12652 	1.12599 	1.14612 	1.15064 	1.29995 	1.21888 	1.25243 	1.20927 	1.31009 	1.12826 	1.29564 	1.28008 	0.13799 	0.38411 	-0.11949 	-0.12981 	-0.11137 	0.01153 	-0.13419 	-0.11024 	-0.13736 	0.16323 	-0.12208 	-0.12582 	0.95398 	-0.13550 	-0.12157 	-0.12931 	-0.11751 	-0.10937 	-0.16577 	-0.08699 	-0.13734 	-0.21525 	1.01883 	-0.09606 	-0.09687 	-0.13145 	0.67321 	-0.12621 	0.00000 	-0.11784 	-0.20832 	-0.08163 	-0.05471 	-0.05944 	-0.05099 	0.00528 	-0.06144 	-0.05047 	-0.06289 	0.07474 	-0.05590 	-0.05761 	0.14082 	-0.06204 	-0.05566 	-0.05921 	-0.05380 	-0.05008 	-0.07590 	-0.03983 	-0.06288 	0.06373 	0.86411 	-0.04398 	-0.04435 	-0.06019 	0.82802 	-0.05779 	0.00000 	-0.05395 	0.28618	0.33865
Replication9	 0.25397	0.83465	1.11140 	1.11153 	1.11194 	1.11532 	1.10493 	1.11877 	1.10928 	1.11800 	1.11142 	1.14379 	1.07454 	1.18811 	1.29572 	1.18261 	1.20096 	1.15395 	1.14101 	1.14784 	1.13095 	1.12922 	1.15159 	1.15558 	1.30397 	1.21692 	1.23766 	1.18856 	1.29343 	1.12910 	1.27836 	1.26213 	0.13741 	0.38738 	-0.14144 	-0.12136 	-0.12239 	0.02779 	-0.11979 	-0.12993 	-0.12189 	0.23452 	-0.13638 	-0.09736 	0.98209 	-0.12503 	-0.13010 	-0.12647 	-0.13902 	-0.13039 	-0.13704 	-0.13089 	-0.11837 	-0.21800 	1.03196 	-0.12113 	-0.11486 	-0.14689 	0.63149 	-0.12123 	0.00000 	-0.12114 	-0.20913 	-0.07865 	-0.06477 	-0.05558 	-0.05605 	0.01273 	-0.05486 	-0.05950 	-0.05582 	0.10740 	-0.06246 	-0.04459 	0.16842 	-0.05726 	-0.05958 	-0.05792 	-0.06366 	-0.05971 	-0.06276 	-0.05994 	-0.05421 	0.06116 	0.87715 	-0.05547 	-0.05260 	-0.06727 	0.78639 	-0.05552 	0.00000 	-0.05548 	0.28286	0.33626
