
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus13	Bus14	Bus15	Bus16	Bus17	Bus18	Bus19	Bus20	Bus21	Bus22	Bus23	Bus24	Bus25	Bus26	Bus27	Bus28	Bus29	Bus30	Bus31	Bus32	Bus33	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus13_P	Bus14_P	Bus15_P	Bus16_P	Bus17_P	Bus18_P	Bus19_P	Bus20_P	Bus21_P	Bus22_P	Bus23_P	Bus24_P	Bus25_P	Bus26_P	Bus27_P	Bus28_P	Bus29_P	Bus30_P	Bus31_P	Bus32_P	Bus33_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	Bus13_Q	Bus14_Q	Bus15_Q	Bus16_Q	Bus17_Q	Bus18_Q	Bus19_Q	Bus20_Q	Bus21_Q	Bus22_Q	Bus23_Q	Bus24_Q	Bus25_Q	Bus26_Q	Bus27_Q	Bus28_Q	Bus29_Q	Bus30_Q	Bus31_Q	Bus32_Q	Bus33_Q	PLoss	QLoss
Replication0	 0.00023	1.00016	1.00580 	1.00597 	1.00523 	1.00588 	1.00717 	1.01156 	1.01450 	1.02223 	1.03729 	1.05023 	1.04751 	1.04285 	1.03560 	1.04113 	1.04654 	1.04015 	1.03022 	1.02685 	1.00688 	1.01808 	1.02049 	1.02566 	1.00446 	1.00451 	1.00635 	1.01060 	1.00976 	1.00826 	1.00866 	1.01067 	1.01783 	1.02094 	1.02550 	-0.00159 	-0.00135 	-0.00139 	-0.00139 	-0.00131 	0.00000 	-0.00145 	-0.00155 	-0.00148 	0.02302 	-0.00128 	-0.00133 	-0.00397 	-0.00149 	0.01242 	-0.00160 	-0.00164 	-0.00165 	-0.00154 	0.00150 	-0.00151 	-0.00134 	-0.00141 	-0.00159 	-0.00119 	-0.00152 	-0.00130 	-0.00149 	0.00000 	-0.00165 	-0.00153 	-0.00130 	0.00535 	-0.00052 	-0.00044 	-0.00045 	-0.00045 	-0.00043 	0.00000 	-0.00047 	-0.00051 	-0.00048 	0.00755 	-0.00042 	-0.00044 	-0.00997 	-0.00049 	0.01252 	-0.00052 	-0.00054 	-0.00054 	-0.00050 	0.00049 	-0.00050 	-0.00044 	-0.00046 	-0.00052 	-0.00124 	-0.00050 	-0.00043 	-0.00049 	0.00000 	-0.00054 	-0.00050 	-0.00043 	0.00332 	0.00097	0.00081
Replication1	 0.01403	0.99993	1.00749 	1.00765 	1.01324 	1.01129 	1.00998 	1.00820 	1.00079 	0.99013 	0.97373 	0.97291 	0.97269 	0.97296 	0.97029 	0.95498 	0.94299 	0.95055 	0.97013 	0.98057 	1.00608 	0.99491 	0.99071 	0.98452 	1.02207 	1.04196 	1.06403 	1.01158 	1.01676 	1.04075 	1.06042 	1.04552 	1.01235 	1.00179 	0.98947 	-0.00152 	-0.00131 	-0.00142 	-0.00160 	-0.00154 	0.00000 	-0.00177 	-0.00164 	-0.00142 	0.00000 	-0.00169 	-0.00161 	0.00948 	-0.00191 	-0.02285 	-0.00140 	-0.00168 	-0.00167 	-0.00150 	0.00150 	-0.00121 	-0.00152 	-0.00142 	-0.00200 	0.01795 	-0.00136 	-0.00149 	-0.00143 	0.04103 	-0.00149 	-0.00170 	-0.00184 	-0.00619 	-0.00050 	-0.00043 	-0.00047 	-0.00052 	-0.00050 	0.00000 	-0.00058 	-0.00054 	-0.00047 	0.00000 	-0.00055 	-0.00053 	0.01215 	-0.00063 	-0.02289 	-0.00046 	-0.00055 	-0.00055 	-0.00049 	0.00049 	-0.00040 	-0.00050 	-0.00047 	-0.00066 	0.01797 	-0.00045 	-0.00049 	-0.00047 	0.01346 	-0.00049 	-0.00056 	-0.00060 	-0.00529 	0.00428	0.00388
Replication2	 -1.56007	1.00024	1.00636 	1.00655 	1.00995 	1.00896 	1.00864 	1.00922 	1.00526 	1.00146 	0.99688 	0.99549 	0.99533 	0.99564 	0.99827 	0.99551 	0.99379 	0.99798 	1.01087 	1.01785 	1.00584 	1.00233 	1.00034 	0.99768 	1.01545 	1.02860 	1.04349 	1.01098 	1.01400 	1.02893 	1.04181 	1.03742 	1.02876 	1.02647 	1.02419 	-0.00177 	-0.00125 	-0.00145 	-0.00159 	-0.00150 	0.00000 	-0.00139 	-0.00169 	-0.00163 	0.00000 	-0.00149 	-0.00163 	0.00776 	-0.00155 	-0.00560 	-0.00137 	-0.00157 	-0.00158 	-0.00145 	0.00150 	-0.00145 	-0.00158 	-0.00151 	-0.00160 	0.01117 	-0.00169 	-0.00130 	-0.00153 	0.01833 	-0.00150 	-0.00159 	-0.00141 	0.00551 	-0.00058 	-0.00041 	-0.00047 	-0.00052 	-0.00049 	0.00000 	-0.00046 	-0.00055 	-0.00053 	0.00000 	-0.00049 	-0.00053 	-0.00137 	-0.00051 	-0.00546 	-0.00045 	-0.00051 	-0.00052 	-0.00048 	0.00049 	-0.00048 	-0.00052 	-0.00050 	-0.00052 	0.01110 	-0.00056 	-0.00043 	-0.00050 	0.00601 	-0.00049 	-0.00052 	-0.00046 	0.00243 	0.00099	0.00084
Replication3	 -1.56801	1.00025	1.01521 	1.01538 	1.01765 	1.01887 	1.02081 	1.02689 	1.02303 	1.01864 	1.01471 	1.01168 	1.01125 	1.01107 	1.01268 	1.01445 	1.01656 	1.01666 	1.02062 	1.02319 	1.01507 	1.01501 	1.01407 	1.01187 	1.01903 	1.02380 	1.03004 	1.02611 	1.02550 	1.02575 	1.02740 	1.02624 	1.02522 	1.02543 	1.02632 	-0.00153 	-0.00124 	-0.00120 	-0.00150 	-0.00161 	0.01638 	-0.00122 	-0.00151 	-0.00152 	0.00000 	-0.00150 	-0.00191 	0.00404 	-0.00139 	0.00217 	-0.00141 	-0.00121 	-0.00169 	-0.00140 	0.00150 	-0.00137 	-0.00163 	-0.00159 	-0.00133 	0.00670 	-0.00145 	-0.00160 	-0.00143 	0.00000 	-0.00146 	-0.00136 	-0.00141 	0.00618 	-0.00050 	-0.00041 	-0.00039 	-0.00049 	-0.00053 	0.00537 	-0.00040 	-0.00049 	-0.00050 	0.00000 	-0.00049 	-0.00063 	-0.00550 	-0.00046 	0.00231 	-0.00046 	-0.00040 	-0.00055 	-0.00046 	0.00049 	-0.00045 	-0.00053 	-0.00052 	-0.00044 	0.00662 	-0.00048 	-0.00052 	-0.00047 	0.00000 	-0.00048 	-0.00045 	-0.00046 	0.00296 	0.00026	0.00023
Replication4	 -1.54561	0.99959	1.01124 	1.01141 	1.01343 	1.01514 	1.01761 	1.02479 	1.02246 	1.01786 	1.01461 	1.02792 	1.02472 	1.01929 	1.00183 	0.99132 	0.98354 	0.97614 	0.96157 	0.95661 	1.01143 	1.01433 	1.01441 	1.01493 	1.01399 	1.01648 	1.02069 	1.02369 	1.02273 	1.02000 	1.01964 	1.00533 	0.97451 	0.96484 	0.95370 	-0.00160 	-0.00169 	-0.00162 	-0.00153 	-0.00135 	0.01870 	-0.00145 	-0.00169 	-0.00149 	0.02420 	-0.00155 	-0.00114 	-0.00575 	-0.00152 	-0.00891 	-0.00128 	-0.00144 	-0.00145 	-0.00142 	0.00150 	-0.00160 	-0.00129 	-0.00122 	-0.00154 	0.00349 	-0.00176 	-0.00120 	-0.00165 	0.02353 	-0.00161 	-0.00172 	-0.00161 	-0.01844 	-0.00053 	-0.00056 	-0.00053 	-0.00050 	-0.00044 	0.00614 	-0.00048 	-0.00055 	-0.00049 	0.00794 	-0.00051 	-0.00038 	0.01020 	-0.00050 	-0.00915 	-0.00042 	-0.00047 	-0.00048 	-0.00047 	0.00049 	-0.00052 	-0.00042 	-0.00040 	-0.00051 	0.00362 	-0.00058 	-0.00039 	-0.00054 	0.00772 	-0.00053 	-0.00056 	-0.00053 	-0.01306 	0.00231	0.00208
Replication5	 -1.56379	1.00032	1.00612 	1.00630 	1.00691 	1.00714 	1.00813 	1.01190 	1.01267 	1.01751 	1.02766 	1.03330 	1.03174 	1.02939 	1.02875 	1.03499 	1.04102 	1.03905 	1.03822 	1.03855 	1.00673 	1.01385 	1.01500 	1.01770 	1.00816 	1.01257 	1.01865 	1.01175 	1.01203 	1.01550 	1.01952 	1.02248 	1.03120 	1.03479 	1.04005 	-0.00169 	-0.00159 	-0.00160 	-0.00171 	-0.00145 	0.00000 	-0.00153 	-0.00149 	-0.00129 	0.01226 	-0.00152 	-0.00156 	0.00106 	-0.00167 	0.01049 	-0.00111 	-0.00131 	-0.00168 	-0.00162 	0.00150 	-0.00166 	-0.00156 	-0.00154 	-0.00150 	0.00292 	-0.00145 	-0.00132 	-0.00136 	0.00000 	-0.00143 	-0.00150 	-0.00164 	0.01049 	-0.00055 	-0.00052 	-0.00053 	-0.00056 	-0.00048 	0.00000 	-0.00050 	-0.00049 	-0.00042 	0.00402 	-0.00050 	-0.00051 	-0.01128 	-0.00055 	0.01068 	-0.00036 	-0.00043 	-0.00055 	-0.00053 	0.00049 	-0.00054 	-0.00051 	-0.00050 	-0.00049 	0.00282 	-0.00047 	-0.00043 	-0.00045 	0.00000 	-0.00047 	-0.00049 	-0.00054 	0.00632 	0.00064	0.00058
Replication6	 -1.56406	1.00045	1.01275 	1.01290 	1.01483 	1.01466 	1.01516 	1.01792 	1.01546 	1.01513 	1.01672 	1.01441 	1.01420 	1.01445 	1.01890 	1.02413 	1.02904 	1.03045 	1.03889 	1.04367 	1.01264 	1.01359 	1.01288 	1.01202 	1.01792 	1.02605 	1.03588 	1.01830 	1.01936 	1.02671 	1.03360 	1.03568 	1.04174 	1.04449 	1.04861 	-0.00138 	-0.00125 	-0.00154 	-0.00151 	-0.00171 	0.00350 	-0.00136 	-0.00185 	-0.00159 	0.00000 	-0.00156 	-0.00157 	0.00631 	-0.00151 	0.00636 	-0.00185 	-0.00169 	-0.00180 	-0.00164 	0.00150 	-0.00145 	-0.00141 	-0.00141 	-0.00156 	0.00868 	-0.00162 	-0.00151 	-0.00129 	0.00000 	-0.00128 	-0.00171 	-0.00165 	0.01375 	-0.00045 	-0.00041 	-0.00051 	-0.00050 	-0.00056 	0.00115 	-0.00044 	-0.00061 	-0.00052 	0.00000 	-0.00051 	-0.00051 	-0.01115 	-0.00049 	0.00663 	-0.00061 	-0.00055 	-0.00059 	-0.00054 	0.00049 	-0.00047 	-0.00046 	-0.00046 	-0.00051 	0.00853 	-0.00053 	-0.00049 	-0.00042 	0.00000 	-0.00042 	-0.00056 	-0.00054 	0.00785 	0.00062	0.00057
Replication7	 0.00513	0.99984	1.02741 	1.02760 	1.03129 	1.03579 	1.04120 	1.05513 	1.04688 	1.03213 	1.01437 	1.00978 	1.00890 	1.00792 	1.00095 	0.99473 	0.99055 	0.98646 	0.98031 	0.97887 	1.02697 	1.02410 	1.02245 	1.01723 	1.02992 	1.02881 	1.02944 	1.05185 	1.04777 	1.03290 	1.02359 	1.01369 	0.99259 	0.98614 	0.97881 	-0.00170 	-0.00174 	-0.00154 	-0.00162 	-0.00129 	0.04757 	-0.00144 	-0.00139 	-0.00166 	0.00000 	-0.00165 	-0.00152 	-0.00065 	-0.00152 	-0.00659 	-0.00154 	-0.00136 	-0.00164 	-0.00143 	0.00150 	-0.00150 	-0.00158 	-0.00145 	-0.00154 	0.00644 	-0.00153 	-0.00139 	-0.00186 	0.00000 	-0.00141 	-0.00162 	-0.00138 	-0.00978 	-0.00056 	-0.00057 	-0.00051 	-0.00053 	-0.00042 	0.01561 	-0.00047 	-0.00046 	-0.00055 	0.00000 	-0.00054 	-0.00050 	0.00557 	-0.00050 	-0.00669 	-0.00051 	-0.00044 	-0.00054 	-0.00047 	0.00049 	-0.00049 	-0.00052 	-0.00048 	-0.00051 	0.00649 	-0.00050 	-0.00046 	-0.00061 	0.00000 	-0.00046 	-0.00053 	-0.00045 	-0.00768 	0.00212	0.00186
Replication8	 -1.56324	1.00044	1.00968 	1.00983 	1.01132 	1.01113 	1.01165 	1.01415 	1.01318 	1.01569 	1.02141 	1.02230 	1.02162 	1.02095 	1.02415 	1.03061 	1.03663 	1.03710 	1.04264 	1.04614 	1.00987 	1.01340 	1.01346 	1.01430 	1.01392 	1.02106 	1.02999 	1.01447 	1.01542 	1.02213 	1.02900 	1.03208 	1.04098 	1.04466 	1.05000 	-0.00142 	-0.00176 	-0.00142 	-0.00164 	-0.00136 	0.00000 	-0.00156 	-0.00140 	-0.00184 	0.00466 	-0.00150 	-0.00159 	0.00469 	-0.00159 	0.00896 	-0.00143 	-0.00175 	-0.00160 	-0.00158 	0.00150 	-0.00173 	-0.00136 	-0.00144 	-0.00163 	0.00671 	-0.00149 	-0.00145 	-0.00175 	0.00000 	-0.00156 	-0.00163 	-0.00169 	0.01408 	-0.00047 	-0.00058 	-0.00046 	-0.00054 	-0.00045 	0.00000 	-0.00051 	-0.00046 	-0.00060 	0.00153 	-0.00049 	-0.00052 	-0.01240 	-0.00052 	0.00922 	-0.00047 	-0.00057 	-0.00052 	-0.00052 	0.00049 	-0.00057 	-0.00044 	-0.00047 	-0.00053 	0.00658 	-0.00049 	-0.00047 	-0.00057 	0.00000 	-0.00051 	-0.00054 	-0.00055 	0.00831 	0.00069	0.00065
Replication9	 0.00287	1.00048	1.01099 	1.01116 	1.01302 	1.01257 	1.01279 	1.01453 	1.01265 	1.01366 	1.01678 	1.01466 	1.01449 	1.01479 	1.02023 	1.02636 	1.03196 	1.03389 	1.04290 	1.04778 	1.01100 	1.01248 	1.01192 	1.01134 	1.01636 	1.02503 	1.03518 	1.01514 	1.01652 	1.02534 	1.03330 	1.03631 	1.04450 	1.04797 	1.05287 	-0.00160 	-0.00141 	-0.00143 	-0.00155 	-0.00137 	0.00000 	-0.00149 	-0.00156 	-0.00157 	0.00000 	-0.00146 	-0.00168 	0.00650 	-0.00141 	0.00735 	-0.00152 	-0.00154 	-0.00190 	-0.00143 	0.00150 	-0.00127 	-0.00151 	-0.00145 	-0.00135 	0.00845 	-0.00157 	-0.00165 	-0.00125 	0.00000 	-0.00127 	-0.00173 	-0.00139 	0.01513 	-0.00052 	-0.00046 	-0.00047 	-0.00051 	-0.00045 	0.00000 	-0.00049 	-0.00051 	-0.00052 	0.00000 	-0.00048 	-0.00055 	-0.01207 	-0.00046 	0.00764 	-0.00050 	-0.00050 	-0.00062 	-0.00047 	0.00049 	-0.00041 	-0.00049 	-0.00047 	-0.00044 	0.00830 	-0.00051 	-0.00054 	-0.00041 	0.00000 	-0.00041 	-0.00057 	-0.00045 	0.00886 	0.00077	0.00071
