0.000	0.200	0.000	0.200	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.200	0.000	0.250	0.100	0.300	0.200	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.250	0.000	0.000	0.260	0.100	0.000	0.000	0.000	0.000	0.000	0.000
0.200	0.100	0.000	0.000	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.300	0.300	0.260	0.400	0.000	0.300	0.300	0.000	0.000	0.000	0.000	0.000
0.000	0.200	0.100	0.000	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.300	0.000	0.000	0.250	0.200	0.200	0.300	0.100
0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.100	0.260	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.000	0.000	0.000	0.300	0.200
0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.100	0.000	0.000	0.300	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.300	0.260	0.300	0.300	0.000	0.400
0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.000	0.200	0.000	0.400	0.000

0.000	0.100	0.000	0.050	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	0.000	0.050	0.050	0.100	0.070	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.050	0.000	0.000	0.120	0.020	0.000	0.000	0.000	0.000	0.000	0.000
0.050	0.050	0.000	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.080	0.100	0.120	0.200	0.000	0.100	0.100	0.000	0.000	0.000	0.000	0.000
0.000	0.070	0.020	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.100	0.000	0.000	0.050	0.100	0.070	0.100	0.050
0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.020	0.120	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.080	0.050
0.000	0.000	0.000	0.000	0.000	0.000	0.070	0.020	0.000	0.000	0.100	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.120	0.080	0.100	0.000	0.200
0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.050	0.000	0.200	0.000
