
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus7	Bus8	Bus9	Bus10	Bus11	Bus12	Bus13	Bus14	Bus15	Bus16	Bus17	Bus18	Bus19	Bus20	Bus21	Bus22	Bus23	Bus24	Bus25	Bus26	Bus27	Bus28	Bus29	Bus30	Bus31	Bus32	Bus33	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus7_P	Bus8_P	Bus9_P	Bus10_P	Bus11_P	Bus12_P	Bus13_P	Bus14_P	Bus15_P	Bus16_P	Bus17_P	Bus18_P	Bus19_P	Bus20_P	Bus21_P	Bus22_P	Bus23_P	Bus24_P	Bus25_P	Bus26_P	Bus27_P	Bus28_P	Bus29_P	Bus30_P	Bus31_P	Bus32_P	Bus33_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	Bus7_Q	Bus8_Q	Bus9_Q	Bus10_Q	Bus11_Q	Bus12_Q	Bus13_Q	Bus14_Q	Bus15_Q	Bus16_Q	Bus17_Q	Bus18_Q	Bus19_Q	Bus20_Q	Bus21_Q	Bus22_Q	Bus23_Q	Bus24_Q	Bus25_Q	Bus26_Q	Bus27_Q	Bus28_Q	Bus29_Q	Bus30_Q	Bus31_Q	Bus32_Q	Bus33_Q	PLoss	QLoss
Replication0	 0.07062	0.99837	0.95434 	0.95436 	0.94794 	0.94647 	0.94748 	0.95545 	0.96590 	0.99186 	1.04364 	1.12062 	1.09515 	1.04911 	0.99519 	0.98787 	1.00176 	1.00586 	1.02481 	0.98571 	0.95572 	0.97903 	0.98536 	0.99942 	0.94676 	0.95037 	0.95931 	0.95313 	0.95184 	0.95238 	0.95800 	0.96088 	0.97221 	0.97270 	0.97564 	-0.00519 	-0.00496 	-0.00533 	-0.00573 	-0.00520 	0.00000 	-0.00530 	-0.00531 	-0.00420 	0.17486 	-0.00593 	-0.00427 	-0.00648 	-0.00503 	0.00078 	-0.00551 	-0.00350 	-0.00464 	-0.00563 	0.00091 	-0.00499 	-0.00489 	-0.00516 	-0.00476 	-0.02651 	-0.00596 	-0.00399 	-0.00505 	0.00000 	-0.00512 	-0.00453 	-0.00480 	-0.00354 	-0.00171 	-0.00163 	-0.00176 	-0.00188 	-0.00171 	0.00000 	-0.00175 	-0.00175 	-0.00138 	0.05754 	-0.00195 	-0.00140 	-0.00408 	-0.00165 	-0.00334 	-0.00181 	-0.00115 	-0.00153 	-0.00185 	0.00030 	-0.00164 	-0.00161 	-0.00170 	-0.00156 	0.01326 	-0.00196 	-0.00131 	-0.00166 	0.00000 	-0.00169 	-0.00149 	-0.00158 	-0.00822 	0.03870	0.02213
Replication1	 0.10960	0.99401	0.90998 	0.90959 	0.89716 	0.89768 	0.90021 	0.91061 	0.92492 	0.96320 	1.03488 	1.15960 	1.11473 	1.03119 	0.91151 	0.90658 	0.93318 	0.94710 	0.98610 	0.91519 	0.91222 	0.94459 	0.95391 	0.97186 	0.88837 	0.87809 	0.87347 	0.90509 	0.89913 	0.88382 	0.87732 	0.88125 	0.88945 	0.88870 	0.88979 	-0.00533 	-0.00417 	-0.00512 	-0.00446 	-0.00459 	0.00000 	-0.00441 	-0.00531 	-0.00439 	0.29910 	-0.00457 	-0.00594 	-0.03953 	-0.00500 	-0.00440 	-0.00418 	-0.00462 	-0.00436 	-0.00424 	0.00006 	-0.00462 	-0.00424 	-0.00560 	-0.00468 	-0.09086 	-0.00529 	-0.00490 	-0.00479 	0.00000 	-0.00498 	-0.00492 	-0.00482 	-0.01197 	-0.00177 	-0.00138 	-0.00170 	-0.00148 	-0.00152 	0.00000 	-0.00147 	-0.00176 	-0.00146 	0.09929 	-0.00152 	-0.00197 	-0.03072 	-0.00166 	-0.01953 	-0.00139 	-0.00153 	-0.00145 	-0.00141 	0.00002 	-0.00153 	-0.00141 	-0.00186 	-0.00155 	0.05518 	-0.00175 	-0.00163 	-0.00159 	0.00000 	-0.00165 	-0.00163 	-0.00160 	-0.02915 	0.08879	0.05398
Replication2	 0.08211	0.99687	0.93708 	0.93692 	0.92859 	0.92805 	0.92951 	0.93800 	0.94970 	0.97991 	1.03804 	1.13211 	1.10012 	1.04089 	0.96417 	0.95772 	0.97604 	0.98398 	1.00940 	0.95973 	0.93873 	0.96420 	0.97162 	0.98684 	0.92460 	0.92364 	0.92819 	0.93462 	0.93155 	0.92679 	0.92842 	0.93144 	0.94163 	0.94186 	0.94426 	-0.00484 	-0.00545 	-0.00523 	-0.00457 	-0.00486 	0.00000 	-0.00540 	-0.00459 	-0.00537 	0.21741 	-0.00404 	-0.00500 	-0.01865 	-0.00516 	-0.00134 	-0.00434 	-0.00474 	-0.00443 	-0.00464 	0.00002 	-0.00490 	-0.00524 	-0.00593 	-0.00488 	-0.04884 	-0.00506 	-0.00497 	-0.00507 	0.00000 	-0.00541 	-0.00510 	-0.00461 	-0.00676 	-0.00160 	-0.00180 	-0.00173 	-0.00151 	-0.00160 	0.00000 	-0.00178 	-0.00151 	-0.00177 	0.07176 	-0.00133 	-0.00165 	-0.01404 	-0.00170 	-0.00924 	-0.00143 	-0.00156 	-0.00146 	-0.00153 	0.00001 	-0.00162 	-0.00173 	-0.00196 	-0.00161 	0.02745 	-0.00167 	-0.00164 	-0.00167 	0.00000 	-0.00179 	-0.00168 	-0.00152 	-0.01573 	0.05171	0.03046
Replication3	 0.06752	0.99671	0.93910 	0.93906 	0.93040 	0.92983 	0.93165 	0.94043 	0.95048 	0.97731 	1.02922 	1.11752 	1.08659 	1.03003 	0.95428 	0.94950 	0.96578 	0.97300 	0.99998 	0.95379 	0.94050 	0.96296 	0.96938 	0.98272 	0.92600 	0.92390 	0.92802 	0.93708 	0.93430 	0.93031 	0.93180 	0.93279 	0.93705 	0.93637 	0.93802 	-0.00504 	-0.00474 	-0.00489 	-0.00544 	-0.00435 	0.00676 	-0.00499 	-0.00427 	-0.00528 	0.20815 	-0.00562 	-0.00525 	-0.02230 	-0.00442 	-0.00273 	-0.00579 	-0.00437 	-0.00575 	-0.00480 	0.00020 	-0.00472 	-0.00453 	-0.00559 	-0.00550 	-0.05089 	-0.00580 	-0.00457 	-0.00436 	0.00890 	-0.00447 	-0.00483 	-0.00534 	-0.00759 	-0.00166 	-0.00157 	-0.00161 	-0.00180 	-0.00144 	0.00223 	-0.00165 	-0.00141 	-0.00174 	0.06872 	-0.00186 	-0.00173 	-0.01745 	-0.00146 	-0.01105 	-0.00191 	-0.00144 	-0.00190 	-0.00158 	0.00007 	-0.00156 	-0.00149 	-0.00185 	-0.00182 	0.02946 	-0.00191 	-0.00151 	-0.00144 	0.00294 	-0.00148 	-0.00159 	-0.00176 	-0.01704 	0.04431	0.02613
Replication4	 0.01643	0.99836	0.95724 	0.95761 	0.95334 	0.95200 	0.95284 	0.95928 	0.96387 	0.97844 	1.01182 	1.06643 	1.04853 	1.01614 	0.97617 	0.97362 	0.98028 	0.98374 	1.00015 	0.97890 	0.95764 	0.96867 	0.97162 	0.97998 	0.95343 	0.95919 	0.97096 	0.95843 	0.95895 	0.96870 	0.98084 	0.97617 	0.97050 	0.96939 	0.97036 	-0.00468 	-0.00466 	-0.00404 	-0.00501 	-0.00424 	0.01212 	-0.00522 	-0.00546 	-0.00504 	0.12333 	-0.00407 	-0.00463 	-0.01327 	-0.00498 	-0.00255 	-0.00466 	-0.00488 	-0.00478 	-0.00552 	0.00051 	-0.00557 	-0.00535 	-0.00470 	-0.00537 	-0.02514 	-0.00514 	-0.00514 	-0.00461 	0.03609 	-0.00485 	-0.00435 	-0.00479 	-0.00442 	-0.00154 	-0.00153 	-0.00133 	-0.00165 	-0.00140 	0.00399 	-0.00172 	-0.00180 	-0.00166 	0.04059 	-0.00134 	-0.00152 	-0.01085 	-0.00164 	-0.00670 	-0.00153 	-0.00160 	-0.00157 	-0.00182 	0.00017 	-0.00183 	-0.00176 	-0.00155 	-0.00177 	0.01494 	-0.00169 	-0.00169 	-0.00152 	0.01188 	-0.00160 	-0.00143 	-0.00158 	-0.00914 	0.01512	0.00816
Replication5	 0.08138	0.99450	0.92175 	0.92161 	0.90955 	0.90988 	0.91261 	0.92353 	0.93372 	0.96434 	1.02242 	1.13138 	1.09166 	1.01784 	0.90904 	0.90631 	0.92853 	0.94098 	0.97829 	0.91809 	0.92302 	0.94672 	0.95350 	0.96700 	0.90111 	0.89070 	0.88622 	0.91823 	0.91226 	0.89811 	0.89262 	0.89331 	0.89487 	0.89376 	0.89436 	-0.00559 	-0.00496 	-0.00481 	-0.00538 	-0.00455 	0.01863 	-0.00570 	-0.00390 	-0.00569 	0.26373 	-0.00437 	-0.00517 	-0.04006 	-0.00469 	-0.00575 	-0.00489 	-0.00472 	-0.00458 	-0.00551 	0.00007 	-0.00543 	-0.00542 	-0.00493 	-0.00498 	-0.08323 	-0.00434 	-0.00591 	-0.00494 	0.00966 	-0.00499 	-0.00506 	-0.00461 	-0.01189 	-0.00185 	-0.00165 	-0.00160 	-0.00178 	-0.00151 	0.00618 	-0.00189 	-0.00129 	-0.00189 	0.08746 	-0.00145 	-0.00171 	-0.03196 	-0.00156 	-0.01964 	-0.00162 	-0.00157 	-0.00152 	-0.00183 	0.00002 	-0.00180 	-0.00180 	-0.00163 	-0.00165 	0.05088 	-0.00144 	-0.00196 	-0.00164 	0.00320 	-0.00165 	-0.00168 	-0.00153 	-0.02766 	0.06627	0.04033
Replication6	 0.07533	0.99742	0.94582 	0.94572 	0.93831 	0.93744 	0.93861 	0.94680 	0.95773 	0.98524 	1.03940 	1.12533 	1.09597 	1.04201 	0.97400 	0.96752 	0.98428 	0.99096 	1.01315 	0.96803 	0.94725 	0.97125 	0.97801 	0.99228 	0.93497 	0.93489 	0.94009 	0.94396 	0.94124 	0.93788 	0.94007 	0.94281 	0.95203 	0.95196 	0.95446 	-0.00479 	-0.00509 	-0.00425 	-0.00466 	-0.00518 	0.00000 	-0.00478 	-0.00518 	-0.00461 	0.19927 	-0.00470 	-0.00489 	-0.01474 	-0.00534 	-0.00074 	-0.00416 	-0.00552 	-0.00529 	-0.00521 	0.00046 	-0.00474 	-0.00461 	-0.00562 	-0.00469 	-0.04065 	-0.00377 	-0.00516 	-0.00459 	0.00000 	-0.00466 	-0.00474 	-0.00540 	-0.00579 	-0.00158 	-0.00168 	-0.00140 	-0.00154 	-0.00171 	0.00000 	-0.00158 	-0.00171 	-0.00152 	0.06570 	-0.00155 	-0.00161 	-0.01094 	-0.00176 	-0.00727 	-0.00137 	-0.00182 	-0.00174 	-0.00172 	0.00015 	-0.00156 	-0.00152 	-0.00185 	-0.00155 	0.02237 	-0.00124 	-0.00170 	-0.00151 	0.00000 	-0.00153 	-0.00156 	-0.00178 	-0.01321 	0.04495	0.02620
Replication7	 0.11804	0.99348	0.90567 	0.90512 	0.89148 	0.89185 	0.89482 	0.90622 	0.92121 	0.96165 	1.03648 	1.16804 	1.12029 	1.03186 	0.90351 	0.89846 	0.92665 	0.94122 	0.98354 	0.90797 	0.90783 	0.94225 	0.95208 	0.97061 	0.88184 	0.87011 	0.86470 	0.90053 	0.89414 	0.87761 	0.87008 	0.87382 	0.88074 	0.87968 	0.88063 	-0.00442 	-0.00471 	-0.00517 	-0.00577 	-0.00460 	0.00000 	-0.00448 	-0.00507 	-0.00432 	0.31739 	-0.00602 	-0.00450 	-0.04278 	-0.00508 	-0.00475 	-0.00508 	-0.00502 	-0.00510 	-0.00490 	0.00022 	-0.00443 	-0.00433 	-0.00567 	-0.00518 	-0.09848 	-0.00474 	-0.00508 	-0.00465 	0.00240 	-0.00477 	-0.00561 	-0.00537 	-0.01278 	-0.00147 	-0.00157 	-0.00172 	-0.00192 	-0.00153 	0.00000 	-0.00149 	-0.00168 	-0.00144 	0.10547 	-0.00200 	-0.00150 	-0.03318 	-0.00169 	-0.02122 	-0.00169 	-0.00167 	-0.00169 	-0.00163 	0.00007 	-0.00147 	-0.00144 	-0.00188 	-0.00172 	0.06050 	-0.00158 	-0.00169 	-0.00154 	0.00080 	-0.00158 	-0.00186 	-0.00179 	-0.03147 	0.09922	0.06036
Replication8	 0.06071	0.99933	0.96776 	0.96785 	0.96313 	0.96157 	0.96220 	0.96893 	0.97826 	1.00007 	1.04531 	1.11071 	1.09012 	1.05268 	1.01490 	1.00750 	1.01812 	1.02002 	1.03345 	1.00292 	0.96890 	0.98811 	0.99361 	1.00626 	0.96305 	0.96910 	0.98040 	0.96721 	0.96649 	0.97078 	0.97839 	0.98117 	0.99285 	0.99387 	0.99678 	-0.00479 	-0.00569 	-0.00441 	-0.00507 	-0.00481 	0.00000 	-0.00416 	-0.00524 	-0.00557 	0.14390 	-0.00428 	-0.00558 	0.00125 	-0.00449 	0.00211 	-0.00525 	-0.00421 	-0.00393 	-0.00499 	0.00032 	-0.00506 	-0.00512 	-0.00552 	-0.00466 	-0.01205 	-0.00509 	-0.00535 	-0.00421 	0.00000 	-0.00468 	-0.00471 	-0.00336 	-0.00130 	-0.00157 	-0.00187 	-0.00145 	-0.00167 	-0.00158 	0.00000 	-0.00137 	-0.00172 	-0.00183 	0.04726 	-0.00141 	-0.00183 	0.00224 	-0.00147 	0.00042 	-0.00173 	-0.00138 	-0.00129 	-0.00164 	0.00010 	-0.00166 	-0.00168 	-0.00181 	-0.00153 	0.00432 	-0.00167 	-0.00176 	-0.00138 	0.00000 	-0.00154 	-0.00155 	-0.00111 	-0.00322 	0.03080	0.01715
Replication9	 0.05624	0.99913	0.98048 	0.98069 	0.97373 	0.97271 	0.97387 	0.98245 	0.98929 	1.00773 	1.04630 	1.10624 	1.08562 	1.04827 	1.00746 	1.00078 	1.01276 	1.01521 	1.02835 	0.99772 	0.98138 	0.99659 	1.00092 	1.01086 	0.97178 	0.97251 	0.97931 	0.97967 	0.97743 	0.97446 	0.97758 	0.97818 	0.98649 	0.98686 	0.99003 	-0.00596 	-0.00534 	-0.00608 	-0.00501 	-0.00538 	0.01841 	-0.00568 	-0.00434 	-0.00433 	0.13973 	-0.00461 	-0.00542 	-0.00154 	-0.00522 	0.00152 	-0.00443 	-0.00593 	-0.00572 	-0.00460 	0.00027 	-0.00465 	-0.00434 	-0.00414 	-0.00539 	-0.01457 	-0.00498 	-0.00453 	-0.00519 	0.00000 	-0.00599 	-0.00552 	-0.00544 	-0.00217 	-0.00196 	-0.00175 	-0.00200 	-0.00164 	-0.00177 	0.00605 	-0.00187 	-0.00143 	-0.00142 	0.04591 	-0.00151 	-0.00178 	-0.00027 	-0.00172 	-0.00066 	-0.00146 	-0.00195 	-0.00188 	-0.00151 	0.00009 	-0.00153 	-0.00142 	-0.00136 	-0.00177 	0.00655 	-0.00164 	-0.00149 	-0.00171 	0.00000 	-0.00197 	-0.00181 	-0.00179 	-0.00466 	0.02847	0.01582
